name,printed_name,mana_cost,cmc,type_line,printed_type_line,oracle_text,printed_text,power,toughness,loyalty,colors
Ribbon Snake,Ribbon Snake,1UU,3.0,Creature — Snake,Creature — Snake,"Flying
{2}: This creature loses flying until end of turn. Any player may activate this ability.","Flying
{2}: This creature loses flying until end of turn. Any player may activate this ability.",2,3,,U
Mistform Wakecaster,Mistform Wakecaster,4U,5.0,Creature — Illusion,Creature — Illusion,"Flying
{1}: This creature becomes the creature type of your choice until end of turn.
{2}{U}{U}, {T}: Choose a creature type. Each creature you control becomes that type until end of turn.","Flying
{1}: This creature becomes the creature type of your choice until end of turn.
{2}{U}{U}, {T}: Choose a creature type. Each creature you control becomes that type until end of turn.",2,3,,U
Spinal Graft,Spinal Graft,1B,2.0,Enchantment — Aura,Enchantment — Aura,"Enchant creature
Enchanted creature gets +3/+3.
When enchanted creature becomes the target of a spell or ability, destroy that creature. It can't be regenerated.","Enchant creature
Enchanted creature gets +3/+3.
When enchanted creature becomes the target of a spell or ability, destroy that creature. It can't be regenerated.",,,,B
"Crosis, the Purger","Crosis, the Purger",3UBR,6.0,Legendary Creature — Dragon,Legendary Creature — Dragon,"Flying
Whenever Crosis deals combat damage to a player, you may pay {2}{B}. If you do, choose a color, then that player reveals their hand and discards all cards of that color.","Flying
Whenever Crosis deals combat damage to a player, you may pay {2}{B}. If you do, choose a color, then that player reveals their hand and discards all cards of that color.",6,6,,Z
Leonin Scimitar,Leonin Scimitar,1,1.0,Artifact — Equipment,Artifact — Equipment,"Equipped creature gets +1/+1.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)","Equipped creature gets +1/+1.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",,,,N
Library of Leng,Library of Leng,1,1.0,Artifact,Artifact,"You have no maximum hand size.
If an effect causes you to discard a card, discard it, but you may put it on top of your library instead of into your graveyard.","You have no maximum hand size.
If an effect causes you to discard a card, discard it, but you may put it on top of your library instead of into your graveyard.",,,,N
Specter's Wail,Specter's Wail,1B,2.0,Sorcery,Sorcery,Target player discards a card at random.,Target player discards a card at random.,,,,B
Glimmering Angel,Glimmering Angel,3W,4.0,Creature — Angel,Creature — Angel,"Flying
{U}: This creature gains shroud until end of turn. (It can't be the target of spells or abilities.)","Flying
{U}: This creature gains shroud until end of turn. (It can't be the target of spells or abilities.)",2,2,,W
Misfortune's Gain,Misfortune's Gain,3W,4.0,Sorcery,Sorcery,Destroy target creature. Its owner gains 4 life.,Destroy target creature. Its owner gains 4 life.,,,,W
Junk Golem,Junk Golem,4,4.0,Artifact Creature — Golem,Artifact Creature — Golem,"This creature enters with three +1/+1 counters on it.
At the beginning of your upkeep, sacrifice this creature unless you remove a +1/+1 counter from it.
{1}, Discard a card: Put a +1/+1 counter on this creature.","This creature enters with three +1/+1 counters on it.
At the beginning of your upkeep, sacrifice this creature unless you remove a +1/+1 counter from it.
{1}, Discard a card: Put a +1/+1 counter on this creature.",0,0,,N
Dwarven Thaumaturgist,Dwarven Thaumaturgist,2R,3.0,Creature — Dwarf Shaman,Creature — Dwarf Shaman,{T}: Switch target creature's power and toughness until end of turn.,{T}: Switch target creature's power and toughness until end of turn.,1,2,,R
Tawnos's Wand,Tawnos's Wand,4,4.0,Artifact,Artifact,"{2}, {T}: Target creature with power 2 or less can't be blocked this turn.","{2}, {T}: Target creature with power 2 or less can't be blocked this turn.",,,,N
Cho-Arrim Legate,Cho-Arrim Legate,2W,3.0,Creature — Human Soldier,Creature — Human Soldier,"If an opponent controls a Swamp and you control a Plains, you may cast this spell without paying its mana cost.
Protection from black","If an opponent controls a Swamp and you control a Plains, you may cast this spell without paying its mana cost.
Protection from black",1,2,,W
Pardic Firecat,Pardic Firecat,3R,4.0,Creature — Elemental Cat,Creature — Elemental Cat,"Haste
If this card is in a graveyard, effects from spells named Flame Burst count it as a card named Flame Burst.","Haste
If this card is in a graveyard, effects from spells named Flame Burst count it as a card named Flame Burst.",2,3,,R
Ardent Soldier,Ardent Soldier,1W,2.0,Creature — Human Soldier,Creature — Human Soldier,"Kicker {2} (You may pay an additional {2} as you cast this spell.)
Vigilance
If this creature was kicked, it enters with a +1/+1 counter on it.","Kicker {2} (You may pay an additional {2} as you cast this spell.)
Vigilance
If this creature was kicked, it enters with a +1/+1 counter on it.",1,2,,W
Myr Enforcer,Myr Enforcer,7,7.0,Artifact Creature — Myr,Artifact Creature — Myr,Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.),Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.),4,4,,N
Nightscape Familiar,Nightscape Familiar,1B,2.0,Creature — Zombie,Creature — Zombie,"Blue spells and red spells you cast cost {1} less to cast.
{1}{B}: Regenerate this creature.","Blue spells and red spells you cast cost {1} less to cast.
{1}{B}: Regenerate this creature.",1,1,,B
Knight of Stromgald,Knight of Stromgald,BB,2.0,Creature — Human Knight,Creature — Human Knight,"Protection from white
{B}: This creature gains first strike until end of turn.
{B}{B}: This creature gets +1/+0 until end of turn.","Protection from white
{B}: This creature gains first strike until end of turn.
{B}{B}: This creature gets +1/+0 until end of turn.",2,1,,B
Browse,Browse,2UU,4.0,Enchantment,Enchantment,"{2}{U}{U}: Look at the top five cards of your library, put one of them into your hand, and exile the rest.","{2}{U}{U}: Look at the top five cards of your library, put one of them into your hand, and exile the rest.",,,,U
Eunuchs' Intrigues,Eunuchs' Intrigues,2R,3.0,Sorcery,Sorcery,Target opponent chooses a creature they control. Other creatures they control can't block this turn.,Target opponent chooses a creature they control. Other creatures they control can't block this turn.,,,,R
Eladamri's Vineyard,Eladamri's Vineyard,G,1.0,Enchantment,Enchantment,"At the beginning of each player's first main phase, that player adds {G}{G}.","At the beginning of each player's first main phase, that player adds {G}{G}.",,,,G
Amok,Amok,1R,2.0,Enchantment,Enchantment,"{1}, Discard a card at random: Put a +1/+1 counter on target creature.","{1}, Discard a card at random: Put a +1/+1 counter on target creature.",,,,R
Howling Fury,Howling Fury,2B,3.0,Sorcery,Sorcery,Target creature gets +4/+0 until end of turn.,Target creature gets +4/+0 until end of turn.,,,,B
Bloodscent,Bloodscent,3G,4.0,Instant,Instant,All creatures able to block target creature this turn do so.,All creatures able to block target creature this turn do so.,,,,G
Mob Justice,Mob Justice,1R,2.0,Sorcery,Sorcery,Mob Justice deals damage to target player or planeswalker equal to the number of creatures you control.,Mob Justice deals damage to target player or planeswalker equal to the number of creatures you control.,,,,R
Barbed Wire,Barbed Wire,3,3.0,Artifact,Artifact,"At the beginning of each player's upkeep, this artifact deals 1 damage to that player.
{2}: Prevent the next 1 damage that would be dealt by this artifact this turn.","At the beginning of each player's upkeep, this artifact deals 1 damage to that player.
{2}: Prevent the next 1 damage that would be dealt by this artifact this turn.",,,,N
Hunting Cheetah,Hunting Cheetah,2G,3.0,Creature — Cat,Creature — Cat,"Whenever this creature deals damage to an opponent, you may search your library for a Forest card, reveal that card, put it into your hand, then shuffle.","Whenever this creature deals damage to an opponent, you may search your library for a Forest card, reveal that card, put it into your hand, then shuffle.",2,3,,G
Viashino Sandstalker,Viashino Sandstalker,1RR,3.0,Creature — Lizard Warrior,Creature — Lizard Warrior,"Haste (This creature can attack and {T} as soon as it comes under your control.)
At the beginning of the end step, return this creature to its owner's hand. (Return it only if it's on the battlefield.)","Haste (This creature can attack and {T} as soon as it comes under your control.)
At the beginning of the end step, return this creature to its owner's hand. (Return it only if it's on the battlefield.)",4,2,,R
Rootwater Alligator,Rootwater Alligator,3G,4.0,Creature — Crocodile,Creature — Crocodile,Sacrifice a Forest: Regenerate this creature.,Sacrifice a Forest: Regenerate this creature.,3,2,,G
Second Chance,Second Chance,2U,3.0,Enchantment,Enchantment,"At the beginning of your upkeep, if you have 5 or less life, sacrifice this enchantment and take an extra turn after this one.","At the beginning of your upkeep, if you have 5 or less life, sacrifice this enchantment and take an extra turn after this one.",,,,U
Molten Hydra,Molten Hydra,1R,2.0,Creature — Hydra,Creature — Hydra,"{1}{R}{R}: Put a +1/+1 counter on this creature.
{T}, Remove all +1/+1 counters from this creature: It deals damage to any target equal to the number of +1/+1 counters removed this way.","{1}{R}{R}: Put a +1/+1 counter on this creature.
{T}, Remove all +1/+1 counters from this creature: It deals damage to any target equal to the number of +1/+1 counters removed this way.",1,1,,R
Goblin Trenches,Goblin Trenches,1RW,3.0,Enchantment,Enchantment,"{2}, Sacrifice a land: Create two 1/1 red and white Goblin Soldier creature tokens.","{2}, Sacrifice a land: Create two 1/1 red and white Goblin Soldier creature tokens.",,,,Z
Unearth,Unearth,B,1.0,Sorcery,Sorcery,"Return target creature card with mana value 3 or less from your graveyard to the battlefield.
Cycling {2} ({2}, Discard this card: Draw a card.)","Return target creature card with mana value 3 or less from your graveyard to the battlefield.
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,B
Spellbane Centaur,Spellbane Centaur,2G,3.0,Creature — Centaur,Creature — Centaur,Creatures you control can't be the targets of blue spells or abilities from blue sources.,Creatures you control can't be the targets of blue spells or abilities from blue sources.,3,2,,G
Cremate,Cremate,B,1.0,Instant,Instant,"Exile target card from a graveyard.
Draw a card.","Exile target card from a graveyard.
Draw a card.",,,,B
Parallax Tide,Parallax Tide,2UU,4.0,Enchantment,Enchantment,"Fading 5 (This enchantment enters with five fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)
Remove a fade counter from this enchantment: Exile target land.
When this enchantment leaves the battlefield, each player returns to the battlefield all cards they own exiled with it.","Fading 5 (This enchantment enters with five fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)
Remove a fade counter from this enchantment: Exile target land.
When this enchantment leaves the battlefield, each player returns to the battlefield all cards they own exiled with it.",,,,U
Ironfist Crusher,Ironfist Crusher,4W,5.0,Creature — Human Soldier,Creature — Human Soldier,"This creature can block any number of creatures.
Morph {3}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)","This creature can block any number of creatures.
Morph {3}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",2,4,,W
Enlistment Officer,Enlistment Officer,3W,4.0,Creature — Human Soldier,Creature — Human Soldier,"First strike
When this creature enters, reveal the top four cards of your library. Put all Soldier cards revealed this way into your hand and the rest on the bottom of your library in any order.","First strike
When this creature enters, reveal the top four cards of your library. Put all Soldier cards revealed this way into your hand and the rest on the bottom of your library in any order.",2,3,,W
Cinder Marsh,Cinder Marsh,,0.0,Land,Land,"{T}: Add {C}.
{T}: Add {B} or {R}. This land doesn't untap during your next untap step.","{T}: Add {C}.
{T}: Add {B} or {R}. This land doesn't untap during your next untap step.",,,,L
Clone,Clone,3U,4.0,Creature — Shapeshifter,Creature — Shapeshifter,You may have this creature enter as a copy of any creature on the battlefield.,You may have this creature enter as a copy of any creature on the battlefield.,0,0,,U
Mongrel Pack,Mongrel Pack,3G,4.0,Creature — Dog,Creature — Dog,"When this creature dies during combat, create four 1/1 green Dog creature tokens.","When this creature dies during combat, create four 1/1 green Dog creature tokens.",4,1,,G
Meteor Crater,Meteor Crater,,0.0,Land,Land,{T}: Choose a color of a permanent you control. Add one mana of that color.,{T}: Choose a color of a permanent you control. Add one mana of that color.,,,,L
Noxious Ghoul,Noxious Ghoul,3BB,5.0,Creature — Zombie,Creature — Zombie,"Whenever this creature or another Zombie enters, all non-Zombie creatures get -1/-1 until end of turn.","Whenever this creature or another Zombie enters, all non-Zombie creatures get -1/-1 until end of turn.",3,3,,B
Repulse,Repulse,2U,3.0,Instant,Instant,"Return target creature to its owner's hand.
Draw a card.","Return target creature to its owner's hand.
Draw a card.",,,,U
Coastal Drake,Coastal Drake,2U,3.0,Creature — Drake,Creature — Drake,"Flying
{1}{U}, {T}: Return target Kavu to its owner's hand.","Flying
{1}{U}, {T}: Return target Kavu to its owner's hand.",2,1,,U
Netter en-Dal,Netter en-Dal,W,1.0,Creature — Human Spellshaper,Creature — Human Spellshaper,"{W}, {T}, Discard a card: Target creature can't attack this turn.","{W}, {T}, Discard a card: Target creature can't attack this turn.",1,1,,W
Infernal Harvest,Infernal Harvest,1B,2.0,Sorcery,Sorcery,"As an additional cost to cast this spell, return X Swamps you control to their owner's hand.
Infernal Harvest deals X damage divided as you choose among any number of target creatures.","As an additional cost to cast this spell, return X Swamps you control to their owner's hand.
Infernal Harvest deals X damage divided as you choose among any number of target creatures.",,,,B
Saproling Cluster,Saproling Cluster,1G,2.0,Enchantment,Enchantment,"{1}, Discard a card: Create a 1/1 green Saproling creature token. Any player may activate this ability.","{1}, Discard a card: Create a 1/1 green Saproling creature token. Any player may activate this ability.",,,,G
Nomad Mythmaker,Nomad Mythmaker,2W,3.0,Creature — Human Nomad Cleric,Creature — Human Nomad Cleric,"{W}, {T}: Put target Aura card from a graveyard onto the battlefield under your control attached to a creature you control.","{W}, {T}: Put target Aura card from a graveyard onto the battlefield under your control attached to a creature you control.",2,2,,W
Syncopate,Syncopate,XU,1.0,Instant,Instant,"Counter target spell unless its controller pays {X}. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.","Counter target spell unless its controller pays {X}. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.",,,,U
Blood Moon,Blood Moon,2R,3.0,Enchantment,Enchantment,Nonbasic lands are Mountains.,Nonbasic lands are Mountains.,,,,R
Mystic Compass,Mystic Compass,2,2.0,Artifact,Artifact,"{1}, {T}: Target land becomes the basic land type of your choice until end of turn.","{1}, {T}: Target land becomes the basic land type of your choice until end of turn.",,,,N
Giant Growth,Giant Growth,G,1.0,Instant,Instant,Target creature gets +3/+3 until end of turn.,Target creature gets +3/+3 until end of turn.,,,,G
Opal Titan,Opal Titan,2WW,4.0,Enchantment,Enchantment,"When an opponent casts a creature spell, if this permanent is an enchantment, it becomes a 4/4 Giant creature with protection from each of that spell's colors.","When an opponent casts a creature spell, if this permanent is an enchantment, it becomes a 4/4 Giant creature with protection from each of that spell's colors.",,,,W
Unhinge,Unhinge,2B,3.0,Sorcery,Sorcery,"Target player discards a card.
Draw a card.","Target player discards a card.
Draw a card.",,,,B
Covetous Dragon,Covetous Dragon,4R,5.0,Creature — Dragon,Creature — Dragon,"Flying
When you control no artifacts, sacrifice this creature.","Flying
When you control no artifacts, sacrifice this creature.",6,5,,R
Cannibalize,Cannibalize,1B,2.0,Sorcery,Sorcery,Choose two target creatures controlled by the same player. Exile one of those creatures and put two +1/+1 counters on the other.,Choose two target creatures controlled by the same player. Exile one of those creatures and put two +1/+1 counters on the other.,,,,B
Youthful Knight,Youthful Knight,1W,2.0,Creature — Human Knight,Creature — Human Knight,First strike,First strike,2,1,,W
Raven Familiar,Raven Familiar,2U,3.0,Creature — Bird,Creature — Bird,"Flying
Echo {2}{U} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
When this creature enters, look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.","Flying
Echo {2}{U} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
When this creature enters, look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.",1,2,,U
Dread Reaper,Dread Reaper,3BBB,6.0,Creature — Horror,Creature — Horror,"Flying
When this creature enters, you lose 5 life.","Flying
When this creature enters, you lose 5 life.",6,5,,B
Wind Dancer,Wind Dancer,1U,2.0,Creature — Faerie,Creature — Faerie,"Flying
{T}: Target creature gains flying until end of turn.","Flying
{T}: Target creature gains flying until end of turn.",1,1,,U
Scalebane's Elite,Scalebane's Elite,3GW,5.0,Creature — Human Soldier,Creature — Human Soldier,Protection from black,Protection from black,4,4,,Z
Traveling Plague,Traveling Plague,3BB,5.0,Enchantment — Aura,Enchantment — Aura,"Enchant creature
At the beginning of each upkeep, put a plague counter on this Aura.
Enchanted creature gets -1/-1 for each plague counter on this Aura.
When enchanted creature leaves the battlefield, that creature's controller returns this Aura from its owner's graveyard to the battlefield.","Enchant creature
At the beginning of each upkeep, put a plague counter on this Aura.
Enchanted creature gets -1/-1 for each plague counter on this Aura.
When enchanted creature leaves the battlefield, that creature's controller returns this Aura from its owner's graveyard to the battlefield.",,,,B
Rith's Charm,Rith's Charm,RGW,3.0,Instant,Instant,"Choose one —
• Destroy target nonbasic land.
• Create three 1/1 green Saproling creature tokens.
• Prevent all damage a source of your choice would deal this turn.","Choose one —
• Destroy target nonbasic land.
• Create three 1/1 green Saproling creature tokens.
• Prevent all damage a source of your choice would deal this turn.",,,,Z
Dwarven Shrine,Dwarven Shrine,1RR,3.0,Enchantment,Enchantment,"Whenever a player casts a spell, this enchantment deals X damage to that player, where X is twice the number of cards in all graveyards with the same name as that spell.","Whenever a player casts a spell, this enchantment deals X damage to that player, where X is twice the number of cards in all graveyards with the same name as that spell.",,,,R
Rats' Feast,Rats' Feast,XB,1.0,Sorcery,Sorcery,Exile X target cards from a single graveyard.,Exile X target cards from a single graveyard.,,,,B
Lurking Skirge,Lurking Skirge,1B,2.0,Enchantment,Enchantment,"When a creature is put into an opponent's graveyard from the battlefield, if this permanent is an enchantment, it becomes a 3/2 Phyrexian Imp creature with flying.","When a creature is put into an opponent's graveyard from the battlefield, if this permanent is an enchantment, it becomes a 3/2 Phyrexian Imp creature with flying.",,,,B
Goblin Firebug,Goblin Firebug,1R,2.0,Creature — Goblin,Creature — Goblin,"When this creature leaves the battlefield, sacrifice a land.","When this creature leaves the battlefield, sacrifice a land.",2,2,,R
Heat Wave,Heat Wave,2R,3.0,Enchantment,Enchantment,"Cumulative upkeep {R} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
Blue creatures can't block creatures you control.
Nonblue creatures can't block creatures you control unless their controller pays 1 life for each blocking creature they control.","Cumulative upkeep {R} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
Blue creatures can't block creatures you control.
Nonblue creatures can't block creatures you control unless their controller pays 1 life for each blocking creature they control.",,,,R
Word of Blasting,Word of Blasting,1R,2.0,Instant,Instant,Destroy target Wall. It can't be regenerated. Word of Blasting deals damage equal to that Wall's mana value to the Wall's controller.,Destroy target Wall. It can't be regenerated. Word of Blasting deals damage equal to that Wall's mana value to the Wall's controller.,,,,R
Cantivore,Cantivore,1WW,3.0,Creature — Lhurgoyf,Creature — Lhurgoyf,"Vigilance
Cantivore's power and toughness are each equal to the number of enchantment cards in all graveyards.","Vigilance
Cantivore's power and toughness are each equal to the number of enchantment cards in all graveyards.",*,*,,W
Water Elemental,Water Elemental,3UU,5.0,Creature — Elemental,Creature — Elemental,,,5,4,,U
Mogg Hollows,Mogg Hollows,,0.0,Land,Land,"{T}: Add {C}.
{T}: Add {R} or {G}. This land doesn't untap during your next untap step.","{T}: Add {C}.
{T}: Add {R} or {G}. This land doesn't untap during your next untap step.",,,,L
Nightscape Apprentice,Nightscape Apprentice,B,1.0,Creature — Zombie Wizard,Creature — Zombie Wizard,"{U}, {T}: Put target creature you control on top of its owner's library.
{R}, {T}: Target creature gains first strike until end of turn.","{U}, {T}: Put target creature you control on top of its owner's library.
{R}, {T}: Target creature gains first strike until end of turn.",1,1,,B
"Multani, Maro-Sorcerer","Multani, Maro-Sorcerer",4GG,6.0,Legendary Creature — Elemental,Legendary Creature — Elemental,"Shroud (This creature can't be the target of spells or abilities.)
Multani's power and toughness are each equal to the total number of cards in all players' hands.","Shroud (This creature can't be the target of spells or abilities.)
Multani's power and toughness are each equal to the total number of cards in all players' hands.",*,*,,G
Phyrexian Altar,Phyrexian Altar,3,3.0,Artifact,Artifact,Sacrifice a creature: Add one mana of any color.,Sacrifice a creature: Add one mana of any color.,,,,N
Fire Drake,Fire Drake,1RR,3.0,Creature — Drake,Creature — Drake,"Flying
{R}: This creature gets +1/+0 until end of turn. Activate only once each turn.","Flying
{R}: This creature gets +1/+0 until end of turn. Activate only once each turn.",1,2,,R
Nim Lasher,Nim Lasher,2B,3.0,Creature — Zombie,Creature — Zombie,This creature gets +1/+0 for each artifact you control.,This creature gets +1/+0 for each artifact you control.,1,1,,B
Elite Cat Warrior,Elite Cat Warrior,2G,3.0,Creature — Cat Warrior,Creature — Cat Warrior,Forestwalk (This creature can't be blocked as long as defending player controls a Forest.),Forestwalk (This creature can't be blocked as long as defending player controls a Forest.),2,3,,G
Tithe,Tithe,W,1.0,Instant,Instant,"Search your library for a Plains card. If target opponent controls more lands than you, you may search your library for an additional Plains card. Reveal those cards, put them into your hand, then shuffle.","Search your library for a Plains card. If target opponent controls more lands than you, you may search your library for an additional Plains card. Reveal those cards, put them into your hand, then shuffle.",,,,W
Venomous Dragonfly,Venomous Dragonfly,3G,4.0,Creature — Insect,Creature — Insect,"Flying
Whenever this creature blocks or becomes blocked by a creature, destroy that creature at end of combat.","Flying
Whenever this creature blocks or becomes blocked by a creature, destroy that creature at end of combat.",1,1,,G
Flowstone Sculpture,Flowstone Sculpture,6,6.0,Artifact Creature — Shapeshifter,Artifact Creature — Shapeshifter,"{2}, Discard a card: Put a +1/+1 counter on this creature or this creature gains flying, first strike, or trample. (This effect lasts indefinitely.)","{2}, Discard a card: Put a +1/+1 counter on this creature or this creature gains flying, first strike, or trample. (This effect lasts indefinitely.)",4,4,,N
Cinder Wall,Cinder Wall,R,1.0,Creature — Wall,Creature — Wall,"Defender
When this creature blocks, destroy it at end of combat.","Defender
When this creature blocks, destroy it at end of combat.",3,3,,R
Malicious Advice,Malicious Advice,XUB,2.0,Instant,Instant,"Tap X target artifacts, creatures, and/or lands. You lose X life.","Tap X target artifacts, creatures, and/or lands. You lose X life.",,,,Z
Sterling Grove,Sterling Grove,GW,2.0,Enchantment,Enchantment,"Other enchantments you control have shroud. (They can't be the targets of spells or abilities.)
{1}, Sacrifice this enchantment: Search your library for an enchantment card, reveal it, then shuffle and put that card on top.","Other enchantments you control have shroud. (They can't be the targets of spells or abilities.)
{1}, Sacrifice this enchantment: Search your library for an enchantment card, reveal it, then shuffle and put that card on top.",,,,Z
Nim Replica,Nim Replica,3,3.0,Artifact Creature — Zombie,Artifact Creature — Zombie,"{2}{B}, Sacrifice this creature: Target creature gets -1/-1 until end of turn.","{2}{B}, Sacrifice this creature: Target creature gets -1/-1 until end of turn.",3,1,,N
Trenching Steed,Trenching Steed,3W,4.0,Creature — Horse Rebel,Creature — Horse Rebel,Sacrifice a land: This creature gets +0/+3 until end of turn.,Sacrifice a land: This creature gets +0/+3 until end of turn.,2,3,,W
Galina's Knight,Galina's Knight,WU,2.0,Creature — Merfolk Knight,Creature — Merfolk Knight,Protection from red,Protection from red,2,2,,Z
Gallowbraid,Gallowbraid,3BB,5.0,Legendary Creature — Phyrexian Horror,Legendary Creature — Phyrexian Horror,"Trample
Cumulative upkeep—Pay 1 life. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)","Trample
Cumulative upkeep—Pay 1 life. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)",5,5,,B
Heart of Ramos,Heart of Ramos,3,3.0,Artifact,Artifact,"{T}: Add {R}.
Sacrifice this artifact: Add {R}.","{T}: Add {R}.
Sacrifice this artifact: Add {R}.",,,,N
Hush,Hush,3G,4.0,Sorcery,Sorcery,"Destroy all enchantments.
Cycling {2} ({2}, Discard this card: Draw a card.)","Destroy all enchantments.
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,G
Plague Dogs,Plague Dogs,4B,5.0,Creature — Phyrexian Zombie Dog,Creature — Phyrexian Zombie Dog,"When this creature dies, all creatures get -1/-1 until end of turn.
{2}, Sacrifice this creature: Draw a card.","When this creature dies, all creatures get -1/-1 until end of turn.
{2}, Sacrifice this creature: Draw a card.",3,3,,B
Well-Laid Plans,Well-Laid Plans,2U,3.0,Enchantment,Enchantment,Prevent all damage that would be dealt to a creature by another creature if they share a color.,Prevent all damage that would be dealt to a creature by another creature if they share a color.,,,,U
Tidal Visionary,Tidal Visionary,U,1.0,Creature — Merfolk Wizard,Creature — Merfolk Wizard,{T}: Target creature becomes the color of your choice until end of turn.,{T}: Target creature becomes the color of your choice until end of turn.,1,1,,U
Living Artifact,Living Artifact,G,1.0,Enchantment — Aura,Enchantment — Aura,"Enchant artifact
Whenever you're dealt damage, put that many vitality counters on this Aura.
At the beginning of your upkeep, you may remove a vitality counter from this Aura. If you do, you gain 1 life.","Enchant artifact
Whenever you're dealt damage, put that many vitality counters on this Aura.
At the beginning of your upkeep, you may remove a vitality counter from this Aura. If you do, you gain 1 life.",,,,G
Graceful Antelope,Graceful Antelope,2WW,4.0,Creature — Antelope,Creature — Antelope,"Plainswalk (This creature can't be blocked as long as defending player controls a Plains.)
Whenever this creature deals combat damage to a player, you may have target land become a Plains until this creature leaves the battlefield.","Plainswalk (This creature can't be blocked as long as defending player controls a Plains.)
Whenever this creature deals combat damage to a player, you may have target land become a Plains until this creature leaves the battlefield.",1,4,,W
Gaea's Cradle,Gaea's Cradle,,0.0,Legendary Land,Legendary Land,{T}: Add {G} for each creature you control.,{T}: Add {G} for each creature you control.,,,,L
Gaea's Blessing,Gaea's Blessing,1G,2.0,Sorcery,Sorcery,"Target player shuffles up to three target cards from their graveyard into their library.
Draw a card.
When this card is put into your graveyard from your library, shuffle your graveyard into your library.","Target player shuffles up to three target cards from their graveyard into their library.
Draw a card.
When this card is put into your graveyard from your library, shuffle your graveyard into your library.",,,,G
Pollen Remedy,Pollen Remedy,W,1.0,Instant,Instant,"Kicker—Sacrifice a land. (You may sacrifice a land in addition to any other costs as you cast this spell.)
Prevent the next 3 damage that would be dealt this turn to any number of targets, divided as you choose. If this spell was kicked, prevent the next 6 damage this way instead.","Kicker—Sacrifice a land. (You may sacrifice a land in addition to any other costs as you cast this spell.)
Prevent the next 3 damage that would be dealt this turn to any number of targets, divided as you choose. If this spell was kicked, prevent the next 6 damage this way instead.",,,,W
Words of Wilding,Words of Wilding,2G,3.0,Enchantment,Enchantment,"{1}: The next time you would draw a card this turn, create a 2/2 green Bear creature token instead.","{1}: The next time you would draw a card this turn, create a 2/2 green Bear creature token instead.",,,,G
Raging Cougar,Raging Cougar,2R,3.0,Creature — Cat,Creature — Cat,Haste,Haste,2,2,,R
Conservator,Conservator,4,4.0,Artifact,Artifact,"{3}, {T}: Prevent the next 2 damage that would be dealt to you this turn.","{3}, {T}: Prevent the next 2 damage that would be dealt to you this turn.",,,,N
Panacea,Panacea,4,4.0,Artifact,Artifact,"{X}{X}, {T}: Prevent the next X damage that would be dealt to any target this turn.","{X}{X}, {T}: Prevent the next X damage that would be dealt to any target this turn.",,,,N
Reanimate,Reanimate,B,1.0,Sorcery,Sorcery,Put target creature card from a graveyard onto the battlefield under your control. You lose life equal to its mana value.,Put target creature card from a graveyard onto the battlefield under your control. You lose life equal to its mana value.,,,,B
Patron Wizard,Patron Wizard,UUU,3.0,Creature — Human Wizard,Creature — Human Wizard,Tap an untapped Wizard you control: Counter target spell unless its controller pays {1}.,Tap an untapped Wizard you control: Counter target spell unless its controller pays {1}.,2,2,,U
Avalanche Riders,Avalanche Riders,3R,4.0,Creature — Human Nomad,Creature — Human Nomad,"Haste
Echo {3}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
When this creature enters, destroy target land.","Haste
Echo {3}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
When this creature enters, destroy target land.",2,2,,R
Lunge,Lunge,2R,3.0,Instant,Instant,Lunge deals 2 damage to target creature and 2 damage to target player or planeswalker.,Lunge deals 2 damage to target creature and 2 damage to target player or planeswalker.,,,,R
