eng_name,chn_name,jpn_name,cost,mana,color,type,chn_type,pt,p,t,loyalty,rule,chn_rule,back_name,created,update
Spreading Algae,,,G,1.0,G,Enchantment — Aura,,,,,,"Enchant Swamp
When enchanted land becomes tapped, destroy it.
When this Aura is put into a graveyard from the battlefield, return it to its owner's hand.",,,,
Fallen Cleric,,,4B,5.0,B,Creature — Zombie Cleric,,4/2,4,2,,"Protection from Clerics
Morph {4}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",,,,
Unholy Grotto,,,,0.0,L,Land,,,,,,"{T}: Add {C}.
{B}, {T}: Put target Zombie card from your graveyard on top of your library.",,,,
Darkwatch Elves,,,2G,3.0,G,Creature — Elf,,2/2,2,2,,"Protection from black
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,
Benalish Infantry,,,2W,3.0,W,Creature — Human Soldier,,1/3,1,3,,"Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",,,,
Viashino Heretic,,,2R,3.0,R,Creature — Lizard,,1/3,1,3,,"{1}{R}, {T}: Destroy target artifact. This creature deals damage to that artifact's controller equal to the artifact's mana value.",,,,
Quirion Dryad,,,1G,2.0,G,Creature — Dryad,,1/1,1,1,,"Whenever you cast a spell that's white, blue, black, or red, put a +1/+1 counter on this creature.",,,,
Enrage,,,XR,1.0,R,Instant,,,,,,Target creature gets +X/+0 until end of turn.,,,,
Hidden Retreat,,,2W,3.0,W,Enchantment,,,,,,Put a card from your hand on top of your library: Prevent all damage that would be dealt by target instant or sorcery spell this turn.,,,,
Common Cause,,,2W,3.0,W,Enchantment,,,,,,Nonartifact creatures get +2/+2 as long as they all share a color.,,,,
Choking Tethers,,,3U,4.0,U,Instant,,,,,,"Tap up to four target creatures.
Cycling {1}{U} ({1}{U}, Discard this card: Draw a card.)
When you cycle this card, you may tap target creature.",,,,
Zodiac Snake,,,2B,3.0,B,Creature — Snake,,2/2,2,2,,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),,,,
Collapsing Borders,,,3R,4.0,R,Enchantment,,,,,,"Domain — At the beginning of each player's upkeep, that player gains 1 life for each basic land type among lands they control. Then this enchantment deals 3 damage to that player.",,,,
Gloomdrifter,,,3B,4.0,B,Creature — Zombie Minion,,2/2,2,2,,"Flying
Threshold — As long as seven or more cards are in your graveyard, this creature has ""When this creature enters, nonblack creatures get -2/-2 until end of turn.""",,,,
Song of Serenity,,,1G,2.0,G,Enchantment,,,,,,Creatures that are enchanted can't attack or block.,,,,
Obsidian Acolyte,,,1W,2.0,W,Creature — Human Cleric,,1/1,1,1,,"Protection from black
{W}: Target creature gains protection from black until end of turn.",,,,
Tolarian Entrancer,,,1U,2.0,U,Creature — Human Wizard,,1/1,1,1,,"Whenever this creature becomes blocked by a creature, gain control of that creature at end of combat.",,,,
Cateran Enforcer,,,3BB,5.0,B,Creature — Horror Mercenary,,4/3,4,3,,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
{4}, {T}: Search your library for a Mercenary permanent card with mana value 4 or less, put it onto the battlefield, then shuffle.",,,,
Donate,,,2U,3.0,U,Sorcery,,,,,,Target player gains control of target permanent you control.,,,,
Strength of Unity,,,3W,4.0,W,Enchantment — Aura,,,,,,"Enchant creature
Domain — Enchanted creature gets +1/+1 for each basic land type among lands you control.",,,,
Final Strike,,,2BB,4.0,B,Sorcery,,,,,,"As an additional cost to cast this spell, sacrifice a creature.
Final Strike deals damage to target opponent or planeswalker equal to the sacrificed creature's power.",,,,
Fresh Volunteers,,,1W,2.0,W,Creature — Human Rebel,,2/2,2,2,,,,,,
Xantid Swarm,,,G,1.0,G,Creature — Insect,,0/1,0,1,,"Flying
Whenever this creature attacks, defending player can't cast spells this turn.",,,,
Phyrexian Infiltrator,,,2B,3.0,B,Creature — Phyrexian Minion,,2/2,2,2,,{2}{U}{U}: Exchange control of this creature and target creature. (This effect lasts indefinitely.),,,,
Turn to Dust,,,G,1.0,G,Instant,,,,,,Destroy target Equipment. Add {G}.,,,,
Wall of Ice,,,2G,3.0,G,Creature — Wall,,0/7,0,7,,Defender (This creature can't attack.),,,,
War Mammoth,,,3G,4.0,G,Creature — Elephant,,3/3,3,3,,Trample,,,,
Falling Timber,,,2G,3.0,G,Instant,,,,,,"Kicker—Sacrifice a land. (You may sacrifice a land in addition to any other costs as you cast this spell.)
Prevent all combat damage target creature would deal this turn. If this spell was kicked, prevent all combat damage another target creature would deal this turn.",,,,
Tigereye Cameo,,,3,3.0,N,Artifact,,,,,,{T}: Add {G} or {W}.,,,,
Faerie Squadron,,,U,1.0,U,Creature — Faerie,,1/1,1,1,,"Kicker {3}{U} (You may pay an additional {3}{U} as you cast this spell.)
If this creature was kicked, it enters with two +1/+1 counters on it and with flying.",,,,
Hallowed Healer,,,2W,3.0,W,Creature — Human Cleric,,1/1,1,1,,"{T}: Prevent the next 2 damage that would be dealt to any target this turn.
Threshold — {T}: Prevent the next 4 damage that would be dealt to any target this turn. Activate only if seven or more cards are in your graveyard.",,,,
Devastation,,,5RR,7.0,R,Sorcery,,,,,,Destroy all creatures and lands.,,,,
Raging Minotaur,,,2RR,4.0,R,Creature — Minotaur Berserker,,3/3,3,3,,Haste,,,,
Peacekeeper,,,2W,3.0,W,Creature — Human,,1/1,1,1,,"At the beginning of your upkeep, sacrifice this creature unless you pay {1}{W}.
Creatures can't attack.",,,,
Suffocating Blast,,,1UUR,4.0,Z,Instant,,,,,,Counter target spell and Suffocating Blast deals 3 damage to target creature.,,,,
Aphetto Runecaster,,,3U,4.0,U,Creature — Human Wizard,,2/3,2,3,,"Whenever a permanent is turned face up, you may draw a card.",,,,
Boil,,,3R,4.0,R,Instant,,,,,,Destroy all Islands.,,,,
Southern Paladin,,,2WW,4.0,W,Creature — Human Knight,,3/3,3,3,,"{W}{W}, {T}: Destroy target red permanent.",,,,
Phyrexian Debaser,,,3B,4.0,B,Creature — Phyrexian Carrier,,2/2,2,2,,"Flying
{T}, Sacrifice this creature: Target creature gets -2/-2 until end of turn.",,,,
Mana Cylix,,,1,1.0,N,Artifact,,,,,,"{1}, {T}: Add one mana of any color.",,,,
Mogg Alarm,,,1RR,3.0,R,Sorcery,,,,,,"You may sacrifice two Mountains rather than pay this spell's mana cost.
Create two 1/1 red Goblin creature tokens.",,,,
Sphere of Resistance,,,2,2.0,N,Artifact,,,,,,Spells cost {1} more to cast.,,,,
Thran Quarry,,,,0.0,L,Land,,,,,,"At the beginning of the end step, if you control no creatures, sacrifice this land.
{T}: Add one mana of any color.",,,,
Metathran Transport,,,1UU,3.0,U,Creature — Metathran,,1/3,1,3,,"Flying
This creature can't be blocked by blue creatures.
{U}: Target creature becomes blue until end of turn.",,,,
Otarian Juggernaut,,,4,4.0,N,Artifact Creature — Juggernaut,,2/3,2,3,,"This creature can't be blocked by Walls.
Threshold — As long as seven or more cards are in your graveyard, this creature gets +3/+0 and attacks each combat if able.",,,,
Lead Astray,,,1W,2.0,W,Instant,,,,,,Tap up to two target creatures.,,,,
Bogardan Firefiend,,,2R,3.0,R,Creature — Elemental Spirit,,2/1,2,1,,"When this creature dies, it deals 2 damage to target creature.",,,,
Wall of Nets,,,1WW,3.0,W,Creature — Wall,,0/7,0,7,,"Defender (This creature can't attack.)
At end of combat, exile all creatures blocked by this creature.
When this creature leaves the battlefield, return all cards exiled with it to the battlefield under their owners' control.",,,,
Decree of Pain,,,6BB,8.0,B,Sorcery,,,,,,"Destroy all creatures. They can't be regenerated. Draw a card for each creature destroyed this way.
Cycling {3}{B}{B} ({3}{B}{B}, Discard this card: Draw a card.)
When you cycle this card, all creatures get -2/-2 until end of turn.",,,,
Red Elemental Blast,,,R,1.0,R,Instant,,,,,,"Choose one —
• Counter target blue spell.
• Destroy target blue permanent.",,,,
Shivan Hellkite,,,5RR,7.0,R,Creature — Dragon,,5/5,5,5,,"Flying (This creature can't be blocked except by creatures with flying or reach.)
{1}{R}: This creature deals 1 damage to any target.",,,,
Hammer of Bogardan,,,1RR,3.0,R,Sorcery,,,,,,"Hammer of Bogardan deals 3 damage to any target.
{2}{R}{R}{R}: Return this card from your graveyard to your hand. Activate only during your upkeep.",,,,
Anoint,,,W,1.0,W,Instant,,,,,,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)
Prevent the next 3 damage that would be dealt to target creature this turn.",,,,
Venomous Fangs,,,2G,3.0,G,Enchantment — Aura,,,,,,"Enchant creature
Whenever enchanted creature deals damage to a creature, destroy the other creature.",,,,
Whipstitched Zombie,,,1B,2.0,B,Creature — Zombie,,2/2,2,2,,"At the beginning of your upkeep, sacrifice this creature unless you pay {B}.",,,,
Soulgorger Orgg,,,3RR,5.0,R,Creature — Nightmare Orgg,,6/6,6,6,,"Trample
When this creature enters, you lose all but 1 life.
When this creature leaves the battlefield, you gain life equal to the life you lost when it entered.",,,,
Volrath the Fallen,,,3BBB,6.0,B,Legendary Creature — Phyrexian Shapeshifter,,6/4,6,4,,"{1}{B}, Discard a creature card: Volrath gets +X/+X until end of turn, where X is the discarded card's mana value.",,,,
Arctic Wolves,,,3GG,5.0,G,Creature — Wolf,,4/5,4,5,,"Cumulative upkeep {2} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
When this creature enters, draw a card.",,,,
Crystal Spray,,,2U,3.0,U,Instant,,,,,,"Change the text of target spell or permanent by replacing all instances of one color word with another or one basic land type with another until end of turn.
Draw a card.",,,,
Bad Moon,,,1B,2.0,B,Enchantment,,,,,,Black creatures get +1/+1.,,,,
Exalted Angel,,,4WW,6.0,W,Creature — Angel,,4/5,4,5,,"Flying
Whenever this creature deals damage, you gain that much life.
Morph {2}{W}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",,,,
Canyon Drake,,,2RR,4.0,R,Creature — Drake,,1/2,1,2,,"Flying
{1}, Discard a card at random: This creature gets +2/+0 until end of turn.",,,,
Elven Warhounds,,,3G,4.0,G,Creature — Dog,,2/2,2,2,,"Whenever this creature becomes blocked by a creature, put that creature on top of its owner's library.",,,,
Furnace Spirit,,,2R,3.0,R,Creature — Spirit,,1/1,1,1,,"Haste
{R}: This creature gets +1/+0 until end of turn.",,,,
Quagmire Lamprey,,,2B,3.0,B,Creature — Fish,,1/1,1,1,,"Whenever this creature becomes blocked by a creature, put a -1/-1 counter on that creature.",,,,
Well of Life,,,4,4.0,N,Artifact,,,,,,"At the beginning of your end step, if you control no untapped lands, you gain 2 life.",,,,
Seeker of Skybreak,,,1G,2.0,G,Creature — Elf,,2/1,2,1,,{T}: Untap target creature.,,,,
Yavimaya Coast,,,,0.0,L,Land,,,,,,"{T}: Add {C}.
{T}: Add {G} or {U}. This land deals 1 damage to you.",,,,
Vigilant Drake,,,4U,5.0,U,Creature — Drake,,3/3,3,3,,"Flying
{2}{U}: Untap this creature.",,,,
Flood of Recollection,,,UU,2.0,U,Sorcery,,,,,,Return target instant or sorcery card from your graveyard to your hand. Exile Flood of Recollection.,,,,
Viashino Cutthroat,,,2RR,4.0,R,Creature — Lizard,,5/3,5,3,,"Haste
At the beginning of the end step, return this creature to its owner's hand.",,,,
Circle of Protection: Shadow,,,1W,2.0,W,Enchantment,,,,,,"{1}: The next time a creature of your choice with shadow would deal damage to you this turn, prevent that damage.",,,,
Divert,,,U,1.0,U,Instant,,,,,,Change the target of target spell with a single target unless that spell's controller pays {2}.,,,,
Conversion,,,2WW,4.0,W,Enchantment,,,,,,"At the beginning of your upkeep, sacrifice this enchantment unless you pay {W}{W}.
All Mountains are Plains.",,,,
Fledgling Imp,,,2B,3.0,B,Creature — Imp,,2/2,2,2,,"{B}, Discard a card: This creature gains flying until end of turn.",,,,
Monk Realist,,,1W,2.0,W,Creature — Human Monk Cleric,,1/1,1,1,,"When this creature enters, destroy target enchantment.",,,,
City of Traitors,,,,0.0,L,Land,,,,,,"When you play another land, sacrifice this land.
{T}: Add {C}{C}.",,,,
Fugitive Druid,,,3G,4.0,G,Creature — Human Druid,,3/2,3,2,,"Whenever this creature becomes the target of an Aura spell, you draw a card.",,,,
Stamina,,,2G,3.0,G,Enchantment — Aura,,,,,,"Enchant creature
Enchanted creature has vigilance.
Sacrifice this Aura: Regenerate enchanted creature.",,,,
Shivan Oasis,,,,0.0,L,Land,,,,,,"This land enters tapped.
{T}: Add {R} or {G}.",,,,
Thalakos Lowlands,,,,0.0,L,Land,,,,,,"{T}: Add {C}.
{T}: Add {W} or {U}. This land doesn't untap during your next untap step.",,,,
Maddening Imp,,,2B,3.0,B,Creature — Imp,,1/1,1,1,,"Flying
{T}: Non-Wall creatures the active player controls attack this turn if able. At the beginning of the next end step, destroy each of those creatures that didn't attack this turn. Activate only during an opponent's turn and only before combat.",,,,
Call of the Wild,,,2GG,4.0,G,Enchantment,,,,,,"{2}{G}{G}: Reveal the top card of your library. If it's a creature card, put it onto the battlefield. Otherwise, put it into your graveyard.",,,,
Elvish Vanguard,,,1G,2.0,G,Creature — Elf Warrior,,1/1,1,1,,"Whenever another Elf enters, put a +1/+1 counter on this creature.",,,,
Noble Templar,,,5W,6.0,W,Creature — Human Cleric Soldier,,3/6,3,6,,"Vigilance
Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)",,,,
Grip of Chaos,,,4RR,6.0,R,Enchantment,,,,,,"Whenever a spell or ability is put onto the stack, if it has a single target, reselect its target at random. (Select from among all legal targets.)",,,,
Culling Scales,,,3,3.0,N,Artifact,,,,,,"At the beginning of your upkeep, destroy target nonland permanent with the lowest mana value. (If two or more permanents are tied for lowest, target any one of them.)",,,,
Nantuko Shade,,,BB,2.0,B,Creature — Insect Shade,,2/1,2,1,,{B}: This creature gets +1/+1 until end of turn.,,,,
Benalish Emissary,,,2W,3.0,W,Creature — Human Wizard,,1/4,1,4,,"Kicker {1}{G} (You may pay an additional {1}{G} as you cast this spell.)
When this creature enters, if it was kicked, destroy target land.",,,,
Stupor,,,2B,3.0,B,Sorcery,,,,,,"Target opponent discards a card at random, then discards a card.",,,,
Hunting Drake,,,4U,5.0,U,Creature — Drake,,2/2,2,2,,"Flying
When this creature enters, put target red or green creature on top of its owner's library.",,,,
Painbringer,,,2BB,4.0,B,Creature — Human Minion,,1/1,1,1,,"{T}, Exile any number of cards from your graveyard: Target creature gets -X/-X until end of turn, where X is the number of cards exiled this way.",,,,
Rakavolver,,,2R,3.0,R,Creature — Volver,,2/2,2,2,,"Kicker {1}{W} and/or {U} (You may pay an additional {1}{W} and/or {U} as you cast this spell.)
If this creature was kicked with its {1}{W} kicker, it enters with two +1/+1 counters on it and with ""Whenever this creature deals damage, you gain that much life.""
If this creature was kicked with its {U} kicker, it enters with a +1/+1 counter on it and with flying.",,,,
Timber Wolves,,,G,1.0,G,Creature — Wolf,,1/1,1,1,,"Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",,,,
Soltari Trooper,,,1W,2.0,W,Creature — Soltari Soldier,,1/1,1,1,,"Shadow (This creature can block or be blocked by only creatures with shadow.)
Whenever this creature attacks, it gets +1/+1 until end of turn.",,,,
Jabari's Banner,,,2,2.0,N,Artifact,,,,,,"{1}, {T}: Target creature gains flanking until end of turn. (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)",,,,
Skull Fracture,,,B,1.0,B,Sorcery,,,,,,"Target player discards a card.
Flashback {3}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,
Angelic Protector,,,3W,4.0,W,Creature — Angel,,2/2,2,2,,"Flying
Whenever this creature becomes the target of a spell or ability, this creature gets +0/+3 until end of turn.",,,,
Natural Order,,,2GG,4.0,G,Sorcery,,,,,,"As an additional cost to cast this spell, sacrifice a green creature.
Search your library for a green creature card, put it onto the battlefield, then shuffle.",,,,
Jungle Basin,,,,0.0,L,Land,,,,,,"This land enters tapped.
When this land enters, sacrifice it unless you return an untapped Forest you control to its owner's hand.
{T}: Add {C}{G}.",,,,
Primal Order,,,2GG,4.0,G,Enchantment,,,,,,"At the beginning of each player's upkeep, this enchantment deals damage to that player equal to the number of nonbasic lands they control.",,,,
Bend or Break,,,3R,4.0,R,Sorcery,,,,,,"Each player separates all nontoken lands they control into two piles. For each player, one of their piles is chosen by one of their opponents of their choice. Destroy all lands in the chosen piles. Tap all lands in the other piles.",,,,
Verdant Force,,,5GGG,8.0,G,Creature — Elemental,,7/7,7,7,,"At the beginning of each upkeep, create a 1/1 green Saproling creature token.",,,,
Thunderbolt,,,1R,2.0,R,Instant,,,,,,"Choose one —
• Thunderbolt deals 3 damage to target player or planeswalker.
• Thunderbolt deals 4 damage to target creature with flying.",,,,
Horned Sliver,,,2G,3.0,G,Creature — Sliver,,2/2,2,2,,All Sliver creatures have trample.,,,,
Thought Devourer,,,2UU,4.0,U,Creature — Beast,,4/4,4,4,,"Flying
Your maximum hand size is reduced by four.",,,,
Wall of Stone,,,1RR,3.0,R,Creature — Wall,,0/8,0,8,,Defender (This creature can't attack.),,,,
Barbarian Ring,,,,0.0,L,Land,,,,,,"{T}: Add {R}. This land deals 1 damage to you.
Threshold — {R}, {T}, Sacrifice this land: It deals 2 damage to any target. Activate only if seven or more cards are in your graveyard.",,,,
Antagonism,,,3R,4.0,R,Enchantment,,,,,,"At the beginning of each player's end step, this enchantment deals 2 damage to that player unless one of their opponents was dealt damage this turn.",,,,
Tendrils of Agony,,,2BB,4.0,B,Sorcery,,,,,,"Target player loses 2 life and you gain 2 life.
Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)",,,,
Glintwing Invoker,,,4U,5.0,U,Creature — Human Wizard Mutant,,3/3,3,3,,{7}{U}: This creature gets +3/+3 and gains flying until end of turn.,,,,
Saber Ants,,,3G,4.0,G,Creature — Insect,,2/3,2,3,,"Whenever this creature is dealt damage, you may create that many 1/1 green Insect creature tokens.",,,,
"Borrowing 100,000 Arrows",,,2U,3.0,U,Sorcery,,,,,,Draw a card for each tapped creature target opponent controls.,,,,
Slipstream Eel,,,5UU,7.0,U,Creature — Fish Beast,,6/6,6,6,,"This creature can't attack unless defending player controls an Island.
Cycling {1}{U} ({1}{U}, Discard this card: Draw a card.)",,,,
Vodalian Mystic,,,1U,2.0,U,Creature — Merfolk Wizard,,1/1,1,1,,{T}: Target instant or sorcery spell becomes the color of your choice.,,,,
Silent Assassin,,,BB,2.0,B,Creature — Human Mercenary Assassin,,2/1,2,1,,{3}{B}: Destroy target blocking creature at end of combat.,,,,
Synod Sanctum,,,1,1.0,N,Artifact,,,,,,"{2}, {T}: Exile target permanent you control.
{2}, Sacrifice this artifact: Return all cards exiled with this artifact to the battlefield under your control.",,,,
Annex,,,2UU,4.0,U,Enchantment — Aura,,,,,,"Enchant land (Target a land as you cast this. This card enters attached to that land.)
You control enchanted land.",,,,
Watchdog,,,3,3.0,N,Artifact Creature — Dog,,1/2,1,2,,"This creature blocks each combat if able.
As long as this creature is untapped, all creatures attacking you get -1/-0.",,,,
Jayemdae Tome,,,4,4.0,N,Artifact,,,,,,"{4}, {T}: Draw a card.",,,,
Keeper of the Mind,,,UU,2.0,U,Creature — Human Wizard,,1/2,1,2,,"{U}, {T}: Choose target opponent who has at least two more cards in hand than you do as you activate this ability. Draw a card.",,,,
Tranquil Grove,,,1G,2.0,G,Enchantment,,,,,,{1}{G}{G}: Destroy all other enchantments.,,,,
Earnest Fellowship,,,1W,2.0,W,Enchantment,,,,,,Each creature has protection from its colors.,,,,
Reckless Spite,,,1BB,3.0,B,Instant,,,,,,Destroy two target nonblack creatures. You lose 5 life.,,,,
Stream of Life,,,XG,1.0,G,Sorcery,,,,,,Target player gains X life.,,,,
Gustcloak Sentinel,,,2WW,4.0,W,Creature — Human Soldier,,3/3,3,3,,"Whenever this creature becomes blocked, you may untap it and remove it from combat.",,,,
Goblin Matron,,,2R,3.0,R,Creature — Goblin,,1/1,1,1,,"When this creature enters, you may search your library for a Goblin card, reveal that card, put it into your hand, then shuffle.",,,,
Jaded Response,,,1U,2.0,U,Instant,,,,,,Counter target spell if it shares a color with a creature you control.,,,,
Circle of Protection: Green,,,1W,2.0,W,Enchantment,,,,,,"{1}: The next time a green source of your choice would deal damage to you this turn, prevent that damage.",,,,
Seismic Mage,,,3R,4.0,R,Creature — Human Spellshaper,,1/1,1,1,,"{2}{R}, {T}, Discard a card: Destroy target land.",,,,
Lumbering Satyr,,,2GG,4.0,G,Creature — Satyr Beast,,5/4,5,4,,All creatures have forestwalk. (They can't be blocked as long as defending player controls a Forest.),,,,
Gerrard's Command,,,GW,2.0,Z,Instant,,,,,,Untap target creature. It gets +3/+3 until end of turn.,,,,
Agonizing Memories,,,2BB,4.0,B,Sorcery,,,,,,Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.,,,,
Rescue,,,U,1.0,U,Instant,,,,,,Return target permanent you control to its owner's hand.,,,,
Evil Eye of Orms-by-Gore,,,4B,5.0,B,Creature — Eye,,3/6,3,6,,"Non-Eye creatures you control can't attack.
This creature can't be blocked except by Walls.",,,,
Fling,,,1R,2.0,R,Instant,,,,,,"As an additional cost to cast this spell, sacrifice a creature.
Fling deals damage equal to the sacrificed creature's power to any target.",,,,
Thalakos Drifters,,,2UU,4.0,U,Creature — Thalakos,,3/3,3,3,,Discard a card: This creature gains shadow until end of turn. (It can block or be blocked by only creatures with shadow.),,,,
Skyshroud Troll,,,2GG,4.0,G,Creature — Troll Giant,,3/3,3,3,,{1}{G}: Regenerate this creature.,,,,
Massacre,,,2BB,4.0,B,Sorcery,,,,,,"If an opponent controls a Plains and you control a Swamp, you may cast this spell without paying its mana cost.
All creatures get -2/-2 until end of turn.",,,,
Death Grasp,,,XWB,2.0,Z,Sorcery,,,,,,Death Grasp deals X damage to any target. You gain X life.,,,,
Wall of Water,,,1UU,3.0,U,Creature — Wall,,0/5,0,5,,"Defender (This creature can't attack.)
{U}: This creature gets +1/+0 until end of turn.",,,,
Tidal Surge,,,1U,2.0,U,Sorcery,,,,,,Tap up to three target creatures without flying.,,,,
Misstep,,,1U,2.0,U,Sorcery,,,,,,Creatures target player controls don't untap during that player's next untap step.,,,,
Eye for an Eye,,,WW,2.0,W,Instant,,,,,,"The next time a source of your choice would deal damage to you this turn, instead that source deals that much damage to you and Eye for an Eye deals that much damage to that source's controller.",,,,
Yavimaya Wurm,,,4GG,6.0,G,Creature — Wurm,,6/4,6,4,,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.),,,,
Veteran Brawlers,,,1R,2.0,R,Creature — Human Soldier,,4/4,4,4,,"This creature can't attack if defending player controls an untapped land.
This creature can't block if you control an untapped land.",,,,
El-Hajjâj,,,1BB,3.0,B,Creature — Human Wizard,,1/1,1,1,,"Whenever this creature deals damage, you gain that much life.",,,,
Spoils of the Vault,,,B,1.0,B,Instant,,,,,,"Choose a card name. Reveal cards from the top of your library until you reveal a card with that name, then put that card into your hand. Exile all other cards revealed this way, and you lose 1 life for each of the exiled cards.",,,,
Sorceress Queen,,,1BB,3.0,B,Creature — Human Wizard,,1/1,1,1,,{T}: Target creature other than this creature has base power and toughness 0/2 until end of turn.,,,,
Phyrexian Colossus,,,7,7.0,N,Artifact Creature — Phyrexian Golem,,8/8,8,8,,"This creature doesn't untap during your untap step.
Pay 8 life: Untap this creature.
This creature can't be blocked except by three or more creatures.",,,,
Savage Offensive,,,1R,2.0,R,Sorcery,,,,,,"Kicker {G} (You may pay an additional {G} as you cast this spell.)
Creatures you control gain first strike until end of turn. If this spell was kicked, they get +1/+1 until end of turn.",,,,
Mischievous Quanar,,,4U,5.0,U,Creature — Beast,,3/3,3,3,,"{3}{U}{U}: Turn this creature face down.
Morph {1}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When this creature is turned face up, copy target instant or sorcery spell. You may choose new targets for that copy.",,,,
Rock Jockey,,,2R,3.0,R,Creature — Goblin,,3/3,3,3,,"You can't cast Rock Jockey if you've played a land this turn.
You can't play lands if this creature was cast this turn.",,,,
Hapless Researcher,,,U,1.0,U,Creature — Human Wizard,,1/1,1,1,,"Sacrifice this creature: Draw a card, then discard a card.",,,,
Desert Sandstorm,,,2R,3.0,R,Sorcery,,,,,,Desert Sandstorm deals 1 damage to each creature.,,,,
Horned Troll,,,2G,3.0,G,Creature — Troll,,2/2,2,2,,{G}: Regenerate this creature.,,,,
Tectonic Instability,,,2R,3.0,R,Enchantment,,,,,,"Whenever a land enters, tap all lands its controller controls.",,,,
Standardize,,,UU,2.0,U,Instant,,,,,,Choose a creature type other than Wall. Each creature becomes that type until end of turn.,,,,
Tolarian Emissary,,,2U,3.0,U,Creature — Human Wizard,,1/2,1,2,,"Kicker {1}{W} (You may pay an additional {1}{W} as you cast this spell.)
Flying
When this creature enters, if it was kicked, destroy target enchantment.",,,,
Portcullis,,,4,4.0,N,Artifact,,,,,,"Whenever a creature enters, if there are two or more other creatures on the battlefield, exile that creature. Return that card to the battlefield under its owner's control when this artifact leaves the battlefield.",,,,
Allay,,,1W,2.0,W,Instant,,,,,,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)
Destroy target enchantment.",,,,
Ravenous Rats,,,1B,2.0,B,Creature — Rat,,1/1,1,1,,"When this creature enters, target opponent discards a card.",,,,
Unmask,,,3B,4.0,B,Sorcery,,,,,,"You may exile a black card from your hand rather than pay this spell's mana cost.
Target player reveals their hand. You choose a nonland card from it. That player discards that card.",,,,
Retaliation,,,2G,3.0,G,Enchantment,,,,,,"Creatures you control have ""Whenever this creature becomes blocked by a creature, this creature gets +1/+1 until end of turn.""",,,,
Traveler's Cloak,,,2U,3.0,U,Enchantment — Aura,,,,,,"Enchant creature
As this Aura enters, choose a land type.
When this Aura enters, draw a card.
Enchanted creature has landwalk of the chosen type. (It can't be blocked as long as defending player controls a land of that type.)",,,,
Ancestral Tribute,,,5WW,7.0,W,Sorcery,,,,,,"You gain 2 life for each card in your graveyard.
Flashback {9}{W}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,
Enslaved Horror,,,3B,4.0,B,Creature — Horror,,4/4,4,4,,"When this creature enters, each other player may return a creature card from their graveyard to the battlefield.",,,,
Desolation Giant,,,2RR,4.0,R,Creature — Giant,,3/3,3,3,,"Kicker {W}{W} (You may pay an additional {W}{W} as you cast this spell.)
When this creature enters, destroy all other creatures you control. If it was kicked, destroy all other creatures instead.",,,,
Skyshroud Ridgeback,,,G,1.0,G,Creature — Beast,,2/3,2,3,,"Fading 2 (This creature enters with two fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)",,,,
Altar of Shadows,,,7,7.0,N,Artifact,,,,,,"At the beginning of your first main phase, add {B} for each charge counter on this artifact.
{7}, {T}: Destroy target creature. Then put a charge counter on this artifact.",,,,
Violent Eruption,,,1RRR,4.0,R,Instant,,,,,,"Violent Eruption deals 4 damage divided as you choose among any number of targets.
Madness {1}{R}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",,,,
Cloud Cover,,,2WU,4.0,Z,Enchantment,,,,,,"Whenever another permanent you control becomes the target of a spell or ability an opponent controls, you may return that permanent to its owner's hand.",,,,
Arcane Laboratory,,,2U,3.0,U,Enchantment,,,,,,Each player can't cast more than one spell each turn.,,,,
Hidden Predators,,,G,1.0,G,Enchantment,,,,,,"When an opponent controls a creature with power 4 or greater, if this permanent is an enchantment, it becomes a 4/4 Beast creature.",,,,
